,movie_runtime,log_revenues,Revenue_with_inflation,Interval
2386,98.0,18.041917465191897,68470767.83336614,60-120
2387,90.0,17.06375220557885,25745031.257447504,60-120
2388,110.0,18.814709649347616,148294341.31207347,60-120
2389,91.0,20.314665661845257,664579894.7986548,60-120
2390,105.0,19.213811763280805,221030611.4593832,60-120
2391,91.0,12.742608725912236,342014.6070866141,60-120
2392,77.0,20.35952657193669,695072400.8141732,60-120
2393,94.0,19.658279641211617,344732613.51479656,60-120
2394,110.0,13.389595434170344,653171.7785104986,60-120
2395,130.0,19.13397910805319,204071117.86748686,120-180
2396,139.0,17.92105571820859,60675813.57417978,120-180
2397,213.0,17.075191432024905,26041225.38582677,180-240
2398,96.0,17.416412677757098,36631265.33202099,60-120
2399,100.0,14.499669426013297,1982103.9232283463,60-120
2400,105.0,14.407624076900783,1807805.2110892388,60-120
2401,98.0,15.916644196100007,8175432.643503936,60-120
2402,133.0,19.31690013555422,245032187.04019028,120-180
2403,135.0,16.305069954542265,12055963.051476376,120-180
2404,95.0,13.70922206155926,899165.2047244094,60-120
2405,104.0,17.331237837731717,33640385.000656165,60-120
2406,109.0,17.051964775490845,25443345.047047243,60-120
2407,106.0,17.525976121596898,40872831.00177165,60-120
2408,91.0,16.01277563297491,9000364.48645013,60-120
2409,120.0,17.323428206782953,33378689.212664038,60-120
2410,87.0,15.9872948765901,8773925.56066273,60-120
2411,110.0,12.94760358394691,419829.34402887133,60-120
2412,105.0,17.648034673840336,46178952.2777231,60-120
2413,117.0,18.196097003594765,79884867.80249344,60-120
2414,99.0,17.15584384934312,28228533.464566927,60-120
2415,106.0,14.077210478419325,1299136.6395997375,60-120
2416,106.0,16.496640006433886,14601575.713451441,60-120
2417,113.0,14.307293423198079,1635229.0155839894,60-120
2418,127.0,19.714280996512294,364588907.68897635,120-180
2419,135.0,19.672094340665236,349528038.3735892,120-180
2420,119.0,17.652163917239804,46370030.644652225,60-120
2421,85.0,14.711725756781663,2450311.5967519684,60-120
2422,85.0,16.537365212650187,15208502.625098424,60-120
2423,100.0,13.669408656140488,864069.6484251968,60-120
